nsnps_per,nsample,sparsity,nblocks,global_malloc_current,global_malloc_peak,global_lasso_malloc_current,global_lasso_malloc_peak,true_met,global_met,single_block_malloc_current,single_block_malloc_peak,block_malloc_current,block_malloc_peak,avg_block_lasso_malloc_current,avg_block_lasso_malloc_peak,unweighted_block_met,block_met
100,20000,0.9,22,0.412807162,0.413340207,0.000882111,0.32150906,0.5624582954521538,0.5450603228364153,0.018410642,0.018893333,0.370411118,0.706411307,478725.3181818182,13615620.5,0.4976779292204404,0.5195166472353562
500,5000,0.1,22,0.49978157,0.500165807,0.004402207,0.708824692,0.5599886528244561,0.5120226670592686,0.02064585,0.020778161,0.460646325,0.880646514,2320888.9545454546,20491469.772727273,0.3549538220683154,0.5039324158971953
500,5000,0.5,22,0.49978157,0.500165807,0.004402154,0.708824768,0.5733015021135925,0.38306230057601065,0.020645849,0.020778161,0.460646324,0.880646514,2321240.272727273,20491831.727272727,0.23818274591258443,0.29901523040613553
500,5000,0.9,22,0.499781569,0.500165807,0.004402206,0.708824724,0.5631716598788719,0.3227237908696346,0.020645849,0.020778161,0.460646324,0.880646514,2322476.5454545454,20493034.227272727,0.1524701545343521,0.2653064187532631
500,10000,0.1,22,0.940381567,0.940885807,0.004402207,1.4128565,0.5668779061866326,0.5764811660154294,0.041245848,0.041498161,0.921246323,1.761246513,2319845.0454545454,36522387.59090909,0.5129697256382195,0.5536127489987224
500,10000,0.5,22,0.940381567,0.940885807,0.004402207,1.412856948,0.56192357902396,0.49357413780550596,0.041245847,0.041498161,0.921246323,1.761246512,2320738.1363636362,36523212.77272727,0.33675578972558917,0.43624872772335055
500,10000,0.9,22,0.940381565,0.940885807,0.004402207,1.41285666,0.5675435502055879,0.44344144682126835,0.041245846,0.041498161,0.921246321,1.761246511,2321297.8636363638,36523736.22727273,0.34098904994300444,0.4158462000206683
500,15000,0.1,22,1.380981562,1.381605807,0.004402111,2.029000748,0.5822039790184428,0.5845540596629661,0.061845842,0.062218161,1.381846317,2.641846507,2321297.727272727,52555681.86363637,0.47354069167461477,0.5569936517312498
500,15000,0.5,22,1.380981564,1.381605807,0.00440211,2.029000908,0.5761872282603887,0.5387354962606437,0.061845844,0.062218161,1.381846319,2.641846509,2320159.6363636362,52554710.68181818,0.48745657627795674,0.4871600059838528
500,15000,0.9,22,1.380981564,1.381605807,0.004402535,2.029002165,0.580191648099586,0.5024547598490723,0.061845843,0.062218161,1.381846318,2.641846508,2320799.727272727,52555348.72727273,0.4188079001180321,0.4440946005569121
500,20000,0.1,22,1.821581509,1.822325754,0.004402005,2.381032644,0.5647579028768543,0.5652107922663249,0.082445842,0.082938161,1.842446318,3.522446507,2321202.3636363638,68587745.31818181,0.4656535128924027,0.5516598038312135
500,20000,0.5,22,1.821581561,1.822325807,0.004402111,2.381033004,0.5633783683507751,0.5292654503365317,0.082445842,0.082938161,1.842446317,3.522446507,2321537.3181818184,68588072.95454545,0.508636464103159,0.5080270973631552
500,20000,0.9,22,1.821581509,1.822325754,0.004402006,2.381032708,0.5654968190402551,0.5047242539416671,0.082445842,0.082938161,1.842446318,3.522446507,2319958.6363636362,68586493.04545455,0.47384498759527244,0.4765591950672467
