nsnps_per,nsample,sparsity,nblocks,global_malloc_current,global_malloc_peak,global_lasso_malloc_current,global_lasso_malloc_peak,true_met,global_met,single_block_malloc_current,single_block_malloc_peak,block_malloc_current,block_malloc_peak,avg_block_lasso_malloc_current,avg_block_lasso_malloc_peak,unweighted_block_met,block_met
10,5000,0.1,22,0.067779917,0.071314031,9.7598e-05,0.007688194,0.5700270121071903,0.5433253135198886,0.001004146,0.001564373,0.009804462,0.018204459,67559.31818181818,483737.3181818182,0.41422995811009716,0.5208301165812742
10,5000,0.5,22,0.067633215,0.071193439,9.0059e-05,0.007680656,0.5746516358483439,0.5866858312137003,0.001002727,0.001563125,0.009803203,0.018203392,235658.18181818182,5967251.5,0.490989751412038,0.5372494207981602
10,5000,0.9,22,0.067633033,0.071193255,9.0008e-05,0.007680604,0.555056659669705,0.527207977837724,0.001002729,0.001563125,0.009805348,0.018203394,67582.45454545454,483806.7272727273,0.43079983961454477,0.5389950223861328
10,10000,0.1,22,0.077033022,0.077278515,9.006e-05,0.014752656,0.5593947336094406,0.5805514783334053,0.002002726,0.002243253,0.019603202,0.036403391,68121.63636363637,836420.4545454546,0.5631737469621281,0.5572616166709605
10,10000,0.5,22,0.077033142,0.077278507,9.0008e-05,0.014752604,0.569897882025594,0.5492271467355863,0.002002726,0.002243253,0.019603202,0.036403391,66184.90909090909,834437.0,0.5308369973822759,0.5404353389682562
10,10000,0.9,22,0.077033006,0.077278499,9.0112e-05,0.014752708,0.5773511956883085,0.5812722712127263,0.002002726,0.002243253,0.019604386,0.036403391,67083.40909090909,835294.6818181818,0.5395380090722738,0.571745162693348
10,15000,0.1,22,0.086432997,0.086798491,9.0111e-05,0.021824708,0.5697041088916225,0.5582772952776481,0.003002725,0.003363253,0.029403201,0.05460339,67655.18181818182,1187917.5,0.5528250497420293,0.5561556005884685
10,15000,0.5,22,0.086432928,0.086798422,9.006e-05,0.021824656,0.5637202823845721,0.5272008242779596,0.003002725,0.003363253,0.029403201,0.05460339,67804.0,1188386.7727272727,0.4822829870674588,0.5192651935728373
10,15000,0.9,22,0.086432972,0.086798467,9.0061e-05,0.021824656,0.5680932990906004,0.5704490455262892,0.003002724,0.003363253,0.029403455,0.054603645,66001.09090909091,1186161.5,0.5552880090898303,0.5641367359653547
10,20000,0.1,22,0.095832962,0.096318459,9.114e-05,0.028896552,0.5729734271541918,0.5859623096751633,0.004002722,0.004483253,0.039203197,0.072803387,67173.13636363637,1539279.6818181819,0.5778705231596565,0.576814566562033
10,20000,0.5,22,0.095832887,0.096318384,9.0112e-05,0.028896708,0.5646211386862757,0.5860570777226166,0.004002722,0.004483253,0.039203198,0.072803387,67905.04545454546,1539982.7727272727,0.5514820149461614,0.581429821589463
10,20000,0.9,22,0.095832893,0.09631839,9.0112e-05,0.028896708,0.5669571848344314,0.5610771327693079,0.004002722,0.004483253,0.039203198,0.072803387,66006.77272727272,1538075.6363636365,0.5390603334765969,0.5586242575310024
50,5000,0.1,22,0.102910382,0.103057023,0.000442112,0.04550666,0.5591533928900013,0.5346181442974195,0.002606247,0.002727733,0.046607043,0.088606912,250130.68181818182,1984320.9545454546,0.3531043718375063,0.5207799487501202
50,5000,0.5,22,0.103031819,0.103177271,0.000443167,0.045507716,0.5666890102373197,0.5603312760466904,0.002606643,0.002728125,0.046607119,0.088607308,251030.31818181818,1985162.4090909092,0.4319595881892362,0.5078905353215901
50,5000,0.9,22,0.102910458,0.103057095,0.000442007,0.045506608,0.5638315113087791,0.5320481984159486,0.00260625,0.002727733,0.046606725,0.088606914,251846.81818181818,1986015.0,0.4361147729073349,0.49889407091144045
50,10000,0.1,22,0.147510368,0.147777007,0.00044206,0.080738608,0.5720168054632249,0.5828781530058664,0.005206248,0.005447733,0.093206724,0.177206913,249893.5,3616067.090909091,0.5229045563734499,0.5562786635714065
50,10000,0.5,22,0.14751026,0.147776901,0.00044206,0.080738608,0.5691832093902388,0.516422267467881,0.005206246,0.005447733,0.093207137,0.177206911,250010.04545454544,3616181.590909091,0.4690732754264566,0.5052468367266555
50,10000,0.9,22,0.147510366,0.147777007,0.000442112,0.08073866,0.5742794217065598,0.5477162757844726,0.005206246,0.005447733,0.093208098,0.177206911,250401.4090909091,3616562.5,0.49788314227710323,0.5284294363734675
50,15000,0.1,22,0.192110312,0.192496954,0.00044206,0.115970608,0.567291906226061,0.5657777577595394,0.007806244,0.008167733,0.139806719,0.265806909,251703.77272727274,5249891.090909091,0.5298116386291736,0.562455405190539
50,15000,0.5,22,0.192113565,0.192497007,0.000442059,0.115970608,0.5686149935232699,0.5626875954446618,0.007806246,0.008167733,0.139806722,0.265806911,249984.9090909091,5248415.363636363,0.507027098705535,0.5491594365138514
